Order ID,Order Date,Ship Date,Ship Mode,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order month,Order num,Order year
CA-2016-152156,2016-11-08,2016-11-11,Second Class,Consumer,United States,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collec...,261.96,2,0.0,41.9136,November,11,2016
CA-2016-152156,2016-11-08,2016-11-11,Second Class,Consumer,United States,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,Hon Deluxe Fabric Up...,731.94,3,0.0,219.582,November,11,2016
CA-2016-138688,2016-06-12,2016-06-16,Second Class,Corporate,United States,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Addres...,14.62,2,0.0,6.8714,June,6,2016
US-2015-108966,2015-10-11,2015-10-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Seri...,957.5775,5,0.45,-383.031,October,10,2015
US-2015-108966,2015-10-11,2015-10-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll C...,22.368,2,0.2,2.5164,October,10,2015
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,Eldon Expressions Wo...,48.86,7,0.0,14.1694,June,6,2014
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,Newell 322...,7.28,4,0.0,1.9656,June,6,2014
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone ...,907.152,6,0.2,90.7152,June,6,2014
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binde...,18.504,3,0.2,5.7825,June,6,2014
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 ...,114.9,5,0.0,34.47,June,6,2014
